id,name,lat,lon,tipo,accessibility_score,flood_risk
osm_5448920692,OSM Node 5448920692,-23.5155863,-46.6490491,onibus,0.5,0
osm_5459665279,OSM Node 5459665279,-23.502234,-46.6002665,onibus,0.5,0
osm_5459665280,OSM Node 5459665280,-23.502092,-46.6002972,onibus,0.5,0
osm_5467328863,OSM Node 5467328863,-23.5221691,-46.6030799,onibus,0.5,0
osm_5497099262,OSM Node 5497099262,-23.5367656,-46.6421255,onibus,0.5,0
osm_5497521743,OSM Node 5497521743,-23.5321012,-46.634526,onibus,0.5,0
osm_5497521745,OSM Node 5497521745,-23.5320232,-46.6342836,onibus,0.5,0
osm_5497521754,OSM Node 5497521754,-23.5311544,-46.6376394,onibus,0.5,0
osm_5503919394,OSM Node 5503919394,-23.5246155,-46.6495807,onibus,0.5,0
osm_5503919395,OSM Node 5503919395,-23.5249001,-46.6496327,onibus,0.5,0
osm_5515405123,OSM Node 5515405123,-23.5421229,-46.6476337,onibus,0.5,0
osm_5521299366,OSM Node 5521299366,-23.524938,-46.6478342,onibus,0.5,0
osm_5521299399,OSM Node 5521299399,-23.5211569,-46.6461387,onibus,0.5,0
osm_5521299401,OSM Node 5521299401,-23.5224126,-46.6489035,onibus,0.5,0
osm_5528314104,OSM Node 5528314104,-23.5282921,-46.6071857,onibus,0.5,0
osm_5543966851,OSM Node 5543966851,-23.5062291,-46.6056912,onibus,0.5,0
osm_5543966853,OSM Node 5543966853,-23.5050744,-46.6082693,onibus,0.5,0
osm_5543966855,OSM Node 5543966855,-23.5037936,-46.6106941,onibus,0.5,0
osm_5543966856,OSM Node 5543966856,-23.5041178,-46.6135382,onibus,0.5,0
osm_5545701476,OSM Node 5545701476,-23.5327303,-46.6114604,onibus,0.5,0
osm_5550167686,OSM Node 5550167686,-23.5355485,-46.613743,onibus,0.5,0
osm_5550167687,OSM Node 5550167687,-23.533307,-46.6122785,onibus,0.5,0
osm_5556847293,OSM Node 5556847293,-23.5157431,-46.6118427,onibus,0.5,0
osm_5562124126,OSM Node 5562124126,-23.5280623,-46.60128,onibus,0.5,0
osm_5562881796,OSM Node 5562881796,-23.5272045,-46.6054704,onibus,0.5,0
osm_5571096473,OSM Node 5571096473,-23.5460936,-46.6219046,onibus,0.5,0
osm_5594934751,OSM Node 5594934751,-23.5007651,-46.6135733,onibus,0.5,0
osm_5599350541,OSM Node 5599350541,-23.5161915,-46.6253701,acesso,0.8,0
osm_5599350542,OSM Node 5599350542,-23.5091307,-46.6250811,acesso,0.8,0
osm_5599350543,OSM Node 5599350543,-23.5025492,-46.6250218,acesso,0.8,0
osm_5599350544,OSM Node 5599350544,-23.5026145,-46.6243664,acesso,0.8,0
osm_5656233205,OSM Node 5656233205,-23.5025801,-46.6184019,onibus,0.5,0
osm_5656254469,OSM Node 5656254469,-23.504604,-46.6224821,onibus,0.5,0
osm_5670228228,OSM Node 5670228228,-23.5478932,-46.6332363,onibus,0.5,0
osm_5787335184,OSM Node 5787335184,-23.5385099,-46.603382,onibus,0.5,0
osm_5842804382,OSM Node 5842804382,-23.5162126,-46.6257265,acesso,0.8,0
osm_5905012462,OSM Node 5905012462,-23.5350092,-46.6298028,onibus,0.5,0
osm_5905012473,OSM Node 5905012473,-23.5355473,-46.6265043,onibus,0.5,0
osm_6188197190,OSM Node 6188197190,-23.5287675,-46.6344075,onibus,0.5,0
osm_6188197209,OSM Node 6188197209,-23.5278192,-46.6372973,onibus,0.5,0
osm_6188377692,OSM Node 6188377692,-23.5336603,-46.6332572,onibus,0.5,0
osm_6228531943,Luz,-23.5365228,-46.6345513,acesso,0.5,0
osm_6313124236,OSM Node 6313124236,-23.5146905,-46.6161032,onibus,0.5,0
osm_6313124238,OSM Node 6313124238,-23.5148592,-46.6162931,onibus,0.5,0
osm_6316644538,OSM Node 6316644538,-23.5090863,-46.6248219,onibus,0.5,0
osm_6346294384,OSM Node 6346294384,-23.50968,-46.6248405,onibus,0.5,0
osm_6346294686,OSM Node 6346294686,-23.5092099,-46.6248253,onibus,0.5,0
osm_6445667806,OSM Node 6445667806,-23.5426563,-46.6160882,onibus,0.5,0
osm_6445996860,OSM Node 6445996860,-23.5391318,-46.6075791,onibus,0.5,0
osm_6499857813,OSM Node 6499857813,-23.5139416,-46.6252017,onibus,0.5,0
osm_6499857815,OSM Node 6499857815,-23.5163448,-46.6250201,onibus,0.5,0
osm_6499857818,OSM Node 6499857818,-23.5127002,-46.624926,onibus,0.5,0
osm_6499857825,OSM Node 6499857825,-23.5044584,-46.6246818,onibus,0.5,0
osm_6558385790,OSM Node 6558385790,-23.5424358,-46.606058,onibus,0.5,0
osm_6561023126,Parada João Boemer,-23.5390588,-46.6070857,onibus,0.5,0
osm_6589227731,OSM Node 6589227731,-23.5467552,-46.6061591,onibus,0.5,0
osm_6589227733,OSM Node 6589227733,-23.5465327,-46.6057514,onibus,0.5,0
osm_6589234908,OSM Node 6589234908,-23.5467995,-46.6081466,onibus,0.5,0
osm_6589234909,OSM Node 6589234909,-23.5468597,-46.6085596,onibus,0.5,0
osm_6595269555,OSM Node 6595269555,-23.5455769,-46.6263665,onibus,0.5,0
