id,name,lat,lon,tipo
301794,"R. Luiz Domingues De Castro, 61",-23.441499,-46.790599,onibus
301795,"R. Luiz Domingues De Castro, 49",-23.441588,-46.790548,onibus
301796,"R. Luiz Domingues De Castro, 396",-23.441371,-46.793708,onibus
301797,"R. Luiz Domingues De Castro, 419",-23.441277,-46.79356,onibus
301799,R. Alberto Callix,-23.441277,-46.794912,onibus
301800,"R. Alberto Callix, 76",-23.440975,-46.794961,onibus
301801,"R. Ubirajara Donizete De Andrade, 326",-23.440922,-46.792922,onibus
301802,"R. Júlio Vicente Ferreira, 1094",-23.440727,-46.793257,onibus
404584,"Av. Mons. Antônio De Castro, 676",-23.571981,-46.523664,onibus
404590,"Av. Cipriano Rodrigues, 27",-23.576219,-46.527823,onibus
404592,"Av. Cipriano Rodrigues, 908",-23.577026,-46.525923,onibus
404595,"Av. Cipriano Rodrigues, 1160",-23.576888,-46.5238,onibus
404596,"Av. Cipriano Rodrigues, 67",-23.576676,-46.521971,onibus
404597,"Av. Cipriano Rodrigues, 133",-23.576299,-46.521375,onibus
404598,"Av. Dos Nacionalistas, 347",-23.576619,-46.51706,onibus
404599,"Av. Dos Nacionalistas, 386",-23.576674,-46.516937,onibus
404602,"Av. Dos Nacionalistas, 459",-23.577057,-46.515625,onibus
404636,"Av. Rio Das Pedras, 2451",-23.574454,-46.504856,onibus
404643,"Av. Dos Nacionalistas, 640",-23.577613,-46.514679,onibus
404724,"Av. Pst. Cicero Canuto De Lima, 762",-23.580063,-46.504954,onibus
404729,"Av. Pst. Cicero Canuto De Lima, 249",-23.579897,-46.510115,onibus
404732,"Av. Pst. Cicero Canuto De Lima, 285",-23.580064,-46.509688,onibus
404733,"Av. Pst. Cicero Canuto De Lima, 10",-23.579372,-46.512368,onibus
404734,"Av. Dos Nacionalistas, 920",-23.579305,-46.512646,onibus
404735,"R. Dos Fonsecas, 171",-23.579529,-46.50797,onibus
408848,"Av. Aricanduva, 4630",-23.560734,-46.512483,onibus
408989,"Av. João XxIII, 1386",-23.569976,-46.528901,onibus
408991,"R. Tuma Maluly, 85",-23.585337,-46.510767,onibus
408997,"Av. Pst. Cicero Canuto De Lima, 489",-23.579998,-46.507414,onibus
409027,"R. Tuma Maluly, 87",-23.588897,-46.509992,onibus
409048,Parada 2,-23.565542,-46.507817,onibus
409050,"Av. Inconfidência Mineira, 1997",-23.570684,-46.509236,onibus
409051,"Av. Francisco José Rezende, 138",-23.567969,-46.507183,onibus
409052,"Av. Odilon Pires, 235",-23.565666,-46.509179,onibus
409054,"R. João Galli, 45",-23.58364,-46.525041,onibus
409058,"R. Nello Selmi Dei, 44",-23.580389,-46.509825,onibus
409059,"Av. Rio Das Pedras, 1458",-23.567647,-46.510366,onibus
409060,"R. Manuel Figueiredo, 36",-23.573403,-46.523575,onibus
409061,"Av. Mons. Antônio De Castro, 685",-23.571969,-46.523548,onibus
409063,"R. Amélia Vanso Magnoli, 120",-23.588049,-46.508926,onibus
409065,"R. Ailton Negrão Fazzio, 124",-23.578603,-46.5233,onibus
409066,"Av. Itaquera, 89",-23.558077,-46.521137,onibus
409067,"R. Pedro Rabelo, 209",-23.582085,-46.506931,onibus
409068,"R. Nsa. Sra. Das Dores, 637",-23.571481,-46.531997,onibus
409069,"R. Nsa. Sra. Das Dores, 630",-23.571516,-46.532002,onibus
409070,"R. Amélia Vanso Magnoli, 310",-23.585432,-46.507579,onibus
409071,"R. Rufino Fernandes Inivarri, 69",-23.587573,-46.506418,onibus
409075,"Av. Rio Das Pedras, 1016",-23.564311,-46.513929,onibus
409076,"R. Manuel Figueiredo, 344",-23.574506,-46.520772,onibus
409077,"R. Nello Selmi Dei, 32",-23.58075,-46.50974,onibus
409079,"R. Nello Selmi Dei, 20",-23.581594,-46.509708,onibus
409080,"Av. Inconfidência Mineira, 375",-23.582101,-46.518811,onibus
409082,"Av. Aguiar Da Beira, 299",-23.579311,-46.522561,onibus
409083,"Av. Aguiar Da Beira, 378",-23.572699,-46.519975,onibus
409084,"R. Nello Selmi Dei, 254",-23.582764,-46.509729,onibus
508317,"R. Pe. Tomás De Vilanova, 229",-23.54711,-46.483431,onibus
508319,"R. Pe. Tomás De Vilanova, 229",-23.547255,-46.483514,onibus
508327,"R. Pe. Jerônimo Machado, 61",-23.543015,-46.481492,onibus
508334,"R. Dr. Campos Moura, 95",-23.540384,-46.485367,onibus
508347,"R. Peixoto Werneck, 440",-23.543354,-46.487651,onibus
508354,"R. Saturnino De Souza, 525",-23.548236,-46.493769,onibus
508370,"R. Maciel Monteiro, 807",-23.542369,-46.492533,onibus
508379,"R. Maciel Monteiro, 151",-23.537249,-46.490359,onibus
508684,"R. Sonho Gaúcho, 50",-23.52584,-46.480781,onibus
508687,"R. Sonho Gaúcho, 502",-23.524382,-46.476618,onibus
508709,"R. Sino Vitória, 45",-23.529354,-46.479919,onibus
508938,"Av. Souza Bandeira, 200",-23.547967,-46.50179,onibus
508991,"Av. Eng. João Baptista Aranha, 135",-23.550522,-46.493206,onibus
509010,"Av. Cânio Lettiere, 0",-23.534727,-46.492775,onibus
509013,"R. Pe. Gabriel De Campos, 49",-23.549836,-46.487287,onibus
509014,"R. Pe. Gabriel De Campos, 71",-23.549641,-46.487087,onibus
509015,"R. Juazeiro Do Norte, 313",-23.529268,-46.487692,onibus
509017,"R. Iborepi, 111",-23.532782,-46.484453,onibus
509020,"R. Juazeiro Do Norte, 298",-23.529547,-46.487538,onibus
509021,"R. Juazeiro Do Norte, 610",-23.526775,-46.487821,onibus
509022,"Av. Águia De Haia, 1815",-23.530005,-46.474051,onibus
509023,"Av. Águia De Haia, 1637",-23.531595,-46.473721,onibus
509026,Terminal Metrô Artur Alvim,-23.540692,-46.482933,onibus
509028,"R. Juciri, 130",-23.54132,-46.476053,onibus
509029,"R. S. Vitório, 25",-23.544057,-46.495311,onibus
509030,"R. S. Vitório, 697",-23.549165,-46.495993,onibus
509033,"R. Dr. Xavier De Oliveira, 246",-23.549443,-46.49592,onibus
509035,"Av. Águia De Haia, 1255",-23.534977,-46.473961,onibus
509036,"R. Des. Rocha Portela, 62",-23.5374,-46.497012,onibus
509037,"R. Des. Rocha Portela, 386",-23.538378,-46.493889,onibus
509038,"R. Henrique Jacobs, 374",-23.538931,-46.491888,onibus
509039,"R. Henrique Jacobs, 802",-23.542449,-46.493517,onibus
509043,"Av. Calim Eid, 3200",-23.53094,-46.488255,onibus
509044,"Av. Calim Eid, 3672",-23.536979,-46.48491,onibus
509045,"Av. José Pinheiro Borges, 3",-23.541604,-46.481335,onibus
509046,"R. Igaroi, 42",-23.531284,-46.4871,onibus
509050,"R. Pontal, 209",-23.541476,-46.495076,onibus
509051,"R. Maciel Monteiro, 152",-23.537089,-46.490447,onibus
